Year,Average Total by Year (Thousands)
1963,561.0
1964,565.0
1965,575.0
1966,462.0
1967,487.0
1968,490.0
1969,448.0
1970,485.0
1971,655.0
1972,718.0
1973,633.0
1974,518.0
1975,549.0
1976,646.0
1977,820.0
1978,816.0
1979,708.0
1980,543.0
1981,437.0
1982,413.0
1983,622.0
1984,639.0
1985,688.0
1986,750.0
1987,671.0
1988,676.0
1989,650.0
1990,534.0
1991,509.0
1992,610.0
1993,666.0
1994,670.0
1995,667.0
1996,757.0
1997,804.0
1998,886.0
1999,881.0
2000,876.0
2001,908.0
2002,973.0
2003,1086.0
2004,1203.0
2005,1282.0
2006,1050.0
2007,775.0
2008,485.0
2009,374.0
2010,323.0
2011,306.0
2012,368.0
2013,430.0
2014,438.0
2015,501.0
2016,561.0
2017,614.0
2018,616.0
2019,683.0
2020,822.0
2021,771.0
2022,641.0
2023,668.0
