State,Student Loan Debt (in Billions),Borrowers (in thousands)
Alabama,14.34,301.5
Alaska,1.45,33.2
Arizona,19.39,441.7
Arkansas,7.98,186.4
California,81.99,1732.3
Colorado,16.79,357.3
Connecticut,9.19,201.9
Delaware,2.84,58.1
District of Columbia,3.24,49.3
Florida,62.15,1326.6
Georgia,42.84,795.2
Hawaii,2.74,55.3
Idaho,4.55,106.6
Illinois,33.29,682.3
Indiana,17.6,422
Iowa,7.29,186.6
Kansas,7.34,174
Kentucky,11.59,288.6
Louisiana,13.2,294
Maine,3.44,81.5
Maryland,21.24,386
Massachusetts,14.34,317.1
Michigan,28.44,636.7
Minnesota,14.42,325.7
Mississippi,10.22,213
Missouri,17.34,392.2
Montana,2.61,60.2
Nebraska,4.35,105.1
Nevada,7.39,174.1
New Hampshire,3.43,75.2
New Jersey,21.55,458.8
New Mexico,5.03,120.8
New York,46.95,981.9
North Carolina,29.32,608.9
North Dakota,1.34,33.5
Ohio,35.65,827.1
Oklahoma,9.83,249.6
Oregon,12.48,271.9
Pennsylvania,33.36,727
Puerto Rico,5.56,157.7
Rhode Island,2.28,56
South Carolina,16.68,343.1
South Dakota,1.95,46.5
Tennessee,18.58,406.6
Texas,73.73,1719.2
Utah,6.24,140.4
Vermont,1.56,31.5
Virginia,24.44,482.3
Washington,17.02,379.3
West Virginia,4.23,108.9
Wisconsin,12.47,301.7
Wyoming,1.07,27.2
Other,2.76,44
Not Reported,57.26,2252.2
