State,Student Loan Debt (in Billions),Borrowers (in thousands)
Alabama,1.45,100.6
Alaska,0.09,7.8
Arizona,1.45,114.7
Arkansas,0.8,60.5
California,7.44,555.5
Colorado,1.41,106.4
Connecticut,1.7,104.8
Delaware,0.35,23.3
District of Columbia,0.24,12.5
Florida,4.56,325.5
Georgia,3.59,249.3
Hawaii,0.27,19.3
Idaho,0.36,31.5
Illinois,4.45,287.8
Indiana,1.97,142.4
Iowa,1.15,81.2
Kansas,0.89,64.6
Kentucky,1.26,89.3
Louisiana,1.61,116.9
Maine,0.48,32.3
Maryland,1.97,128.5
Massachusetts,3.34,206.7
Michigan,3.26,214.7
Minnesota,2.14,147.6
Mississippi,0.85,65.1
Missouri,1.77,121.7
Montana,0.23,18.8
Nebraska,0.65,47.2
Nevada,0.51,43.3
New Hampshire,0.6,38.5
New Jersey,4.09,256.7
New Mexico,0.26,23.4
New York,7.26,455.4
North Carolina,3.26,212.6
North Dakota,0.28,19.5
Ohio,4.12,279.9
Oklahoma,0.85,67.1
Oregon,0.82,62.5
Pennsylvania,5.81,360.8
Puerto Rico,0.43,38.8
Rhode Island,0.44,28.5
South Carolina,1.84,120.6
South Dakota,0.36,25.2
Tennessee,1.79,124.8
Texas,7.77,595.2
Utah,0.51,47
Vermont,0.22,14.6
Virginia,2.82,183.7
Washington,1.35,103
West Virginia,0.49,35.2
Wisconsin,1.94,135.4
Wyoming,0.08,7.7
Other,0.14,10.2
Not Reported,0.01,2.1
